casualty_id,vehicle_reference,casualty_class,sex_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile
9897,1,1,1,6,3,0,0,0,0,0,21,9,11
9898,2,1,2,9,3,0,0,0,0,0,9,3,7
9899,2,1,1,9,2,0,0,0,0,0,1,1,9
9900,2,2,2,4,3,0,0,1,0,0,9,1,3
9901,2,1,1,8,3,0,0,0,0,0,1,2,9
9902,2,2,2,5,3,0,0,1,0,0,9,3,8
9903,2,2,2,3,3,0,0,2,0,0,9,3,8
9904,1,3,1,6,3,5,3,0,0,0,0,1,4
9905,1,1,1,7,3,0,0,0,0,0,5,1,6
9906,1,1,1,3,3,0,0,0,0,0,1,1,1
9907,1,2,2,6,2,0,0,1,0,0,9,1,8
9908,1,3,2,10,3,5,1,0,0,0,0,1,10
9909,1,1,1,10,2,0,0,0,0,0,9,1,4
9910,1,1,1,8,3,0,0,0,0,0,9,3,5
9911,2,1,1,5,3,0,0,0,0,0,1,1,4
9912,1,3,2,9,3,5,3,0,0,0,0,1,10
9913,1,1,1,9,3,0,0,0,0,0,19,2,6
9914,2,1,1,6,3,0,0,0,0,0,9,1,7
9915,1,3,1,9,3,5,9,0,0,0,0,1,9
9916,2,1,1,4,3,0,0,0,0,0,1,1,6
9917,2,1,2,4,3,0,0,0,0,0,3,9,11
9918,1,1,1,5,3,0,0,0,0,0,9,1,8
9919,2,1,1,6,3,0,0,0,0,0,1,1,5
9920,1,1,1,6,3,0,0,0,0,0,3,1,4
9921,1,1,1,6,3,0,0,0,0,0,19,1,2
9922,1,3,1,1,3,5,3,0,0,0,0,1,5
9923,1,1,1,6,3,0,0,0,0,0,3,1,3
9924,1,1,1,8,3,0,0,0,0,0,1,1,3
9925,1,1,1,8,3,0,0,0,0,0,4,1,5
9926,2,1,1,6,2,0,0,0,0,0,2,1,2
9927,1,1,1,8,3,0,0,0,0,0,5,2,9
9928,1,1,1,6,2,0,0,0,0,0,4,1,3
9929,1,1,2,4,3,0,0,0,0,0,9,1,8
9930,2,1,2,8,3,0,0,0,0,0,9,1,2
9931,2,1,1,9,3,0,0,0,0,0,1,1,4
9932,2,1,1,8,3,0,0,0,0,0,9,1,3
9933,2,2,1,8,3,0,0,1,0,0,9,9,11
9934,1,3,1,7,2,1,3,0,0,0,0,1,7
9935,1,1,1,6,3,0,0,0,0,0,3,1,6
9936,1,3,1,9,2,8,3,0,0,0,0,1,8
9937,2,1,1,5,3,0,0,0,0,0,9,1,3
9938,1,1,1,9,3,0,0,0,0,0,8,1,2
9939,1,1,1,7,3,0,0,0,0,0,9,1,3
9940,1,2,1,6,3,0,0,2,0,0,9,1,2
9941,2,2,2,6,3,0,0,1,0,0,9,1,3
9942,1,1,1,6,3,0,0,0,0,0,3,1,1
9943,1,3,1,7,3,4,1,0,0,0,0,1,2
9944,1,1,1,8,3,0,0,0,0,0,8,1,4
9945,1,1,1,6,3,0,0,0,0,0,1,1,2
9946,1,1,1,6,3,0,0,0,0,0,9,1,5
